driverId,surname,Posicion_Media_Salida,Posicion_Media_Final,Numero_Carreras
4,Alonso,8.57920792079208,8.492574257425742,404
37,de la Rosa,16.130841121495326,15.345794392523365,107
48,Gené,19.47222222222222,13.555555555555555,36
153,Alguersuari,15.152173913043478,13.891304347826088,46
159,Pérez-Sala,16.34375,17.21875,32
167,Campos,16.761904761904763,20.857142857142858,21
208,de Villota,3.5,26.571428571428573,14
279,Zapico,0.0,27.0,1
339,Soler-Roig,14.0,21.22222222222222,9
504,Creus,22.0,21.0,1
580,Godia,14.642857142857142,11.214285714285714,14
606,de Portago,9.666666666666666,10.666666666666666,6
782,Jover,18.0,20.0,1
832,Sainz,8.58173076923077,9.274038461538462,208
833,Merhi,18.23076923076923,15.692307692307692,13
