driverId,surname,Numero_Carreras,Posicion_Media_Salida,Posicion_Media_Final
4,Alonso,403,8.600496277915633,8.47394540942928
37,de la Rosa,106,16.28301886792453,15.273584905660377
48,Gené,36,19.47222222222222,13.555555555555555
153,Alguersuari,46,15.152173913043478,13.891304347826088
159,Pérez-Sala,26,20.115384615384617,14.884615384615385
167,Campos,17,20.705882352941178,19.41176470588235
208,de Villota,2,24.5,15.0
339,Soler-Roig,6,21.0,21.0
504,Creus,1,22.0,21.0
580,Godia,13,15.76923076923077,9.692307692307692
606,de Portago,6,9.666666666666666,10.666666666666666
782,Jover,1,18.0,20.0
832,Sainz,206,8.66504854368932,9.237864077669903
833,Merhi,13,18.23076923076923,15.692307692307692
